,sentence,sentiment,disgust,shame,sadness,anger,fear,joy,guilt,disgust_2,shame_2,sadness_2,anger_2,fear_2,joy_2,guilt_2
0,"Every time I imagine that someone I love or I could contact a á
serious illness, even death.",fear,1,0,2,1,2,1,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
1,"When I had been obviously unjustly treated and had no possibility á
of elucidating this.",anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"When I think about the short time that we live and relate it to á
the periods of my life when I think that I did not use this á
short time.",sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"At a gathering I found myself involuntarily sitting next to two á
people who expressed opinions that I considered very low and á
discriminating.",disgust,1,0,0,0,0,1,0,0.25925925925925924,0.0,0.7407407407407407,0.0,0.0,0.0,0.0
4,"When I realized that I was directing the feelings of discontent á
with myself at my partner and this way was trying to put the blame á
on him instead of sorting out my own feeliings.",shame,2,0,1,2,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,"I feel guilty when when I realize that I consider material things á
more important than caring for my relatives.  I feel very á
self-centered.",guilt,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"After my girlfriend had taken her exam we went to her parent's á
place.",joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"When, for the first time I realized the meaning of death.",fear,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"When a car is overtaking another and I am forced to drive off the á
road.",anger,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"When I recently thought about the hard work it takes to study, and  á
how one wants to try something else.  When I read a theoretical á
book in English that I did not understand.",sadness,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,When I found a bristle in the liver paste tube.,disgust,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
